StudentID,Academic_Performance,isolated,WomenDifferent,language,COVID,criticises,MenBetterSTEM,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,comfortable,future,bullying,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,k6_1,k6_2,k6_3,k6_4,k6_5,k6_6,Manbox5_overall,Masculinity_contrained,GrowthMindset,k6_overall,School_support_engage,Friends,Friends_Count
S0001,74,1,3,0,3,6,3,0,3,3,5,7,3,1,2,7,2,2,5,3,5,5,5,1,4,4,4,3.4,3.5,5.0,23,2.75,"S0189, S0389, S0978, S0363, S0087, S0560, S0742",7
S0002,72,3,7,0,7,5,1,4,2,6,2,5,4,3,5,3,2,5,1,3,4,4,4,3,5,3,1,3.0,3.5,4.0,20,4.0,"S0311, S0653, S0346, S0548",4
S0003,91,1,5,0,1,4,4,8,3,4,6,7,1,1,6,5,2,5,3,5,2,1,3,5,1,5,5,3.4,4.0,4.5,20,3.75,"S0595, S0904, S0320, S0697, S0268, S0676",6
S0004,57,5,3,0,3,7,5,10,4,7,4,3,3,7,3,5,5,5,7,2,2,3,4,2,5,3,5,4.2,3.75,2.5,22,4.5,"S0345, S0080, S0555, S0306, S0487, S0168",6
S0005,67,5,6,0,5,2,3,1,5,2,4,7,2,6,6,3,6,4,1,2,1,5,1,1,5,3,1,2.8,3.75,4.5,16,4.0,"S0396, S0976, S0289",3
S0006,65,4,6,0,7,4,6,5,2,7,2,5,2,6,5,5,3,1,6,4,3,5,3,2,4,4,3,3.4,4.0,3.5,21,4.5,S0250,1
S0007,65,5,4,0,1,6,7,5,1,1,1,1,2,7,1,4,5,6,7,4,2,4,5,3,2,4,2,4.8,3.5,7.0,20,4.5,"S0140, S0597, S0996, S0027, S0454, S0962",6
S0008,71,7,5,0,6,4,5,2,4,4,2,5,5,7,4,7,1,5,5,5,1,1,1,5,2,3,3,3.4,4.25,4.0,15,3.75,,0
S0009,48,1,1,0,4,4,1,0,7,7,4,1,5,7,1,2,1,3,7,1,1,2,2,5,5,4,4,2.6,2.75,1.0,22,5.5,S0099,1
S0010,73,4,3,1,7,2,5,10,6,1,2,5,1,3,4,1,1,2,1,4,2,4,5,1,1,1,5,2.0,2.75,4.5,17,3.5,S0491,1
S0011,48,3,2,1,5,4,2,4,4,7,6,5,3,4,3,3,4,7,2,5,5,4,2,3,2,5,2,4.6,3.25,2.5,18,3.75,"S0378, S0457",2
S0012,87,3,6,0,1,1,3,6,1,5,4,3,5,2,2,1,7,1,3,5,3,2,4,2,3,5,1,3.8,4.5,5.0,17,3.5,"S0812, S0344, S0603",3
S0013,71,1,4,0,5,5,1,7,7,7,1,6,3,1,7,2,5,6,3,1,4,5,3,2,5,4,1,3.8,2.25,1.0,20,4.25,"S0421, S0475, S0861, S0315, S0872, S0825, S0603",7
S0014,80,6,5,1,1,1,6,7,7,6,5,6,1,5,5,2,7,5,6,2,7,4,5,1,1,5,4,5.4,4.25,1.5,20,3.5,S0283,1
S0015,69,5,7,0,4,4,1,7,3,1,7,7,2,6,5,4,2,5,2,5,3,4,5,3,3,1,4,3.4,4.25,6.0,20,3.75,"S0625, S0229",2
S0016,61,2,6,0,4,4,5,3,2,1,3,3,7,5,7,2,7,5,6,1,1,3,4,1,3,3,1,4.0,5.25,6.5,15,5.75,"S0997, S0781, S0152, S0962, S0163, S0503",6
S0017,82,5,6,1,4,1,1,10,3,4,1,5,4,3,2,7,5,2,4,7,5,3,1,1,2,2,4,4.6,3.0,4.5,13,2.75,"S0105, S0604, S0680, S0669, S0268, S0862, S0859",7
S0018,56,5,4,0,2,3,6,10,4,6,3,6,3,4,7,7,3,2,6,1,5,3,4,5,2,1,1,3.4,4.0,3.0,16,4.0,S0179,1
S0019,62,1,4,0,2,2,1,0,2,1,3,7,5,4,7,2,1,1,1,3,5,2,2,5,4,3,1,2.2,3.25,6.5,17,4.75,"S0922, S0406, S0738, S0923",4
S0020,48,5,7,1,2,7,2,7,2,5,1,2,7,6,3,7,3,2,4,1,4,1,3,1,1,1,1,2.8,4.25,4.5,8,4.5,"S0671, S0148, S0217",3
S0021,41,6,3,0,5,4,2,8,6,4,7,3,2,5,7,5,1,1,3,5,1,2,4,1,5,3,5,2.2,3.5,3.0,20,4.75,"S0700, S0633, S0073, S0334, S0853, S0699",6
S0022,100,7,3,0,5,3,5,3,7,7,3,3,7,7,1,5,5,3,2,6,5,2,2,5,3,3,5,4.2,4.5,1.0,20,3.5,"S0804, S0973",2
S0023,69,4,7,0,6,3,2,1,6,7,2,2,5,2,1,2,7,3,7,3,7,5,5,1,3,4,1,5.4,4.0,1.5,19,3.25,"S0145, S0919, S0802, S0196",4
S0024,78,3,5,1,5,1,3,1,6,3,1,3,5,6,7,3,3,6,5,5,3,3,4,4,3,2,5,4.4,3.5,3.5,21,5.75,S0343,1
S0025,67,2,3,1,5,4,4,10,4,4,7,5,3,1,4,1,3,3,6,3,2,5,1,3,3,3,2,3.4,4.25,4.0,17,3.5,"S0272, S0725, S0580",3
S0026,60,6,1,0,4,5,4,9,4,5,6,6,5,4,5,6,5,7,3,6,2,3,2,1,5,1,5,4.6,4.0,3.5,17,3.25,"S0580, S0775, S0219, S0810",4
S0027,77,1,1,1,6,3,2,8,3,1,1,7,6,2,6,7,3,3,1,2,7,4,4,3,1,5,5,3.2,2.5,6.0,22,4.0,"S0426, S0334",2
S0028,62,6,6,0,3,5,5,7,2,3,6,6,3,5,4,5,1,2,4,1,1,2,1,1,3,5,5,1.8,5.0,5.5,17,3.25,"S0039, S0771, S0330, S0320, S0364",5
S0029,70,2,2,0,5,2,1,7,4,5,1,6,1,6,6,3,6,6,5,4,1,1,2,1,2,4,1,4.4,1.25,3.5,11,5.0,"S0454, S0230, S0981, S0762, S0398, S0986",6
S0030,70,2,2,1,6,2,1,6,3,4,3,7,6,1,5,2,7,2,3,4,2,4,3,4,2,1,4,3.6,3.0,4.5,18,3.25,"S0487, S0701, S0345, S0985, S0550, S0774, S0912",7
S0031,61,2,1,0,5,4,1,9,6,7,2,3,1,2,4,7,3,1,1,5,2,3,4,5,1,4,3,2.4,1.25,1.5,20,4.25,"S0718, S0568, S0630, S0923, S0235, S0588",6
S0032,85,3,1,0,5,6,3,6,2,5,6,4,1,6,1,7,4,2,2,7,3,5,3,2,4,2,1,3.6,2.75,4.5,17,4.0,"S0236, S0081, S0987, S0815, S0251, S0834",6
S0033,83,7,5,0,3,7,2,0,2,5,6,4,1,7,6,7,4,5,7,4,1,1,2,5,3,1,5,4.2,3.5,4.5,17,4.5,S0537,1
S0034,76,1,5,1,5,4,2,9,3,2,3,7,6,1,4,3,5,2,1,7,3,1,2,1,1,1,3,3.6,4.0,5.5,9,3.25,S0051,1
S0035,46,5,5,0,4,7,5,7,2,1,1,7,3,7,7,3,1,4,1,4,7,1,3,4,4,2,4,3.4,3.5,6.5,18,4.5,"S0087, S0902, S0432, S0652, S0998, S0600, S0377",7
S0036,65,6,4,1,6,2,3,8,4,7,4,6,7,4,3,4,3,7,5,7,1,1,2,4,1,2,2,4.6,4.5,2.5,12,2.75,,0
S0037,58,4,4,0,5,1,6,8,5,7,1,1,7,6,7,1,7,6,2,5,6,1,1,2,4,4,4,5.2,4.5,2.0,16,6.0,"S0047, S0369, S0693, S0265, S0215",5
S0038,42,6,6,1,6,1,6,4,3,2,5,6,2,5,2,7,6,6,7,6,7,1,2,5,5,1,3,6.4,4.75,5.5,17,2.75,,0
S0039,45,6,6,0,2,7,1,10,4,6,5,1,4,4,6,5,4,4,7,6,2,5,3,1,4,2,3,4.6,4.0,3.0,18,4.75,"S0071, S0677, S0614",3
S0040,52,7,5,1,5,5,4,10,4,4,2,3,6,5,6,4,2,3,3,5,6,4,1,4,4,2,2,3.8,4.25,4.0,17,4.25,"S0864, S0469, S0728, S0228, S0614, S0897, S0617",7
S0041,93,5,7,0,4,6,3,5,6,7,7,6,3,3,7,5,4,3,3,5,4,1,3,4,2,1,3,3.8,5.0,1.5,14,3.75,"S0671, S0446, S0921",3
S0042,83,5,4,0,7,3,3,9,7,6,1,7,4,5,1,1,5,4,6,4,7,1,5,2,2,2,5,5.2,3.0,1.5,17,2.5,"S0205, S0156",2
S0043,77,3,5,0,3,2,2,4,5,6,5,4,5,7,7,2,3,3,1,2,4,1,1,1,2,3,5,2.6,4.25,2.5,13,5.75,"S0653, S0445, S0033",3
S0044,70,5,3,1,2,2,2,10,6,4,2,4,6,1,7,1,2,3,4,4,2,2,5,1,5,2,2,3.0,3.25,3.0,17,3.75,"S0828, S0813, S0266",3
S0045,57,7,6,0,2,1,3,2,2,7,4,6,5,3,2,2,7,6,6,7,1,3,4,5,5,3,1,5.4,4.5,3.5,21,2.0,"S0491, S0571, S0525, S0916, S0166, S0221, S0832",7
S0046,53,7,3,0,5,4,3,9,7,2,7,1,6,7,3,7,3,6,5,5,1,1,2,1,2,5,2,4.0,4.75,3.5,13,4.5,"S0716, S0468",2
S0047,88,4,4,0,4,3,4,2,3,2,4,4,6,2,1,7,7,5,4,2,3,1,4,5,1,3,2,4.2,4.5,5.5,16,2.75,"S0276, S0962, S0991, S0889",4
S0048,74,6,5,1,6,6,2,6,2,7,1,4,6,3,7,1,6,2,4,7,2,5,1,1,2,4,2,4.2,3.5,3.5,15,4.0,"S0758, S0610, S0478",3
S0049,61,4,5,0,7,7,1,2,1,4,5,1,2,6,3,7,3,2,6,5,6,2,5,3,1,5,2,4.4,3.25,5.5,18,5.0,"S0946, S0229, S0692, S0543",4
S0050,60,2,7,0,6,7,3,6,3,6,3,6,5,6,7,3,5,2,7,3,1,4,5,1,5,5,2,3.6,4.5,3.5,22,5.25,"S0724, S0674, S0315, S0021, S0816",5
S0051,87,6,1,0,4,5,6,0,4,1,1,5,5,3,5,2,5,1,3,4,2,5,2,2,3,3,2,3.0,3.25,5.5,17,3.25,"S0351, S0035, S0928, S0083, S0763, S0400",6
S0052,84,2,5,0,3,1,7,10,7,5,4,4,1,6,6,5,1,5,4,1,1,2,1,1,2,3,3,2.4,4.25,2.0,12,5.5,"S0857, S0810, S0449, S0678, S0511",5
S0053,60,2,7,0,4,4,5,2,2,3,7,6,5,4,5,5,2,7,5,3,5,1,5,3,2,5,5,4.4,6.0,5.5,21,4.25,"S0597, S0625, S0904, S0029, S0655",5
S0054,74,4,6,0,1,3,3,8,7,5,1,7,4,3,2,6,7,7,1,1,3,3,4,1,2,5,3,3.8,3.5,2.0,18,2.5,"S0172, S0599, S0831, S0755, S0549, S0581",6
S0055,97,6,6,1,7,6,5,9,2,2,6,5,1,2,4,2,3,6,6,7,1,2,5,5,2,3,3,4.6,4.5,6.0,20,2.75,"S0311, S0258, S0804",3
S0056,68,4,5,1,6,1,4,2,4,3,6,4,1,5,1,3,5,7,4,5,4,5,1,1,1,2,3,5.0,4.0,4.5,13,3.5,"S1000, S0739, S0156, S0515, S0049",5
S0057,64,1,1,1,7,7,1,4,3,3,5,6,6,4,1,1,2,1,5,5,4,5,4,5,3,3,4,3.4,3.25,5.0,24,3.5,"S0328, S0893, S0595, S0482, S0984",5
S0058,39,1,1,0,7,1,5,9,6,5,5,7,6,1,4,5,5,1,7,6,6,5,3,4,1,5,2,5.0,4.25,2.5,20,3.25,"S0638, S0266",2
S0059,64,5,1,1,6,7,2,2,3,1,1,3,4,2,6,7,5,3,6,5,1,2,4,4,5,3,2,4.0,2.0,6.0,20,4.0,"S0114, S0125, S0689",3
S0060,62,7,5,0,6,7,1,3,3,2,6,4,4,1,7,2,6,6,7,2,2,1,4,2,2,2,3,4.6,4.0,5.5,14,3.25,"S0062, S0438",2
S0061,58,3,7,0,1,3,2,4,4,1,3,3,4,7,4,1,4,2,7,7,3,3,2,4,3,4,5,4.6,4.0,5.5,21,5.25,,0
S0062,84,4,1,0,5,1,7,5,4,4,2,2,3,7,5,4,5,1,4,1,5,5,1,5,4,1,2,3.2,3.25,4.0,18,5.5,"S0192, S0331, S0791, S0551",4
S0063,92,7,6,1,1,5,1,7,3,4,3,6,4,6,5,1,5,4,5,7,1,2,5,4,5,2,3,4.4,3.5,4.5,21,3.5,"S0625, S0167, S0519, S0549, S0607, S0008, S0381",7
S0064,53,6,3,1,7,1,5,7,3,5,2,4,2,1,2,6,5,6,4,1,5,3,3,1,5,5,4,4.2,3.0,4.0,21,2.25,"S0149, S0177, S0674, S0940, S0394, S0475",6
S0065,80,2,6,0,6,1,1,3,7,3,6,4,7,2,7,1,5,1,6,1,1,5,5,4,5,2,5,2.8,5.0,3.0,26,4.75,,0
S0066,93,1,2,0,7,1,4,2,3,5,4,2,4,4,1,3,6,6,6,1,5,5,4,4,1,3,5,4.8,3.5,4.0,22,4.5,"S0826, S0310, S0419",3
S0067,95,7,3,1,3,1,4,2,2,7,3,7,2,1,6,7,6,7,1,2,2,2,4,3,5,4,2,3.6,3.0,3.5,20,2.25,"S0213, S0805, S0862, S0137, S0544, S0306, S0261",7
S0068,53,5,5,0,7,4,4,9,7,5,7,6,5,2,3,3,2,3,4,3,1,4,2,1,2,5,2,2.6,5.25,2.0,16,2.5,"S0342, S0157, S0847, S0619, S0823",5
S0069,62,5,7,0,1,4,6,5,4,3,3,7,6,5,4,4,7,7,3,4,2,4,3,5,3,3,1,4.6,5.5,4.5,19,3.25,"S0806, S0382, S0022, S0229, S0344, S0774, S0757",7
S0070,77,3,6,0,5,5,5,8,4,3,2,5,2,3,4,1,6,4,7,6,2,3,5,2,4,5,5,5.0,3.75,4.5,24,3.75,"S0615, S0858, S0730, S0923, S0831, S0304, S0295",7
S0071,64,7,5,0,4,5,2,8,2,6,3,7,1,3,6,7,1,4,3,4,4,3,5,3,2,2,4,3.2,2.75,4.0,19,2.75,"S0704, S0160, S0469, S0177, S0079, S0181, S0382",7
S0072,71,5,1,0,4,7,3,1,2,3,7,1,4,3,2,6,7,6,6,4,1,1,5,5,3,5,3,4.8,3.75,5.5,22,3.75,"S0492, S0497, S0494, S0744",4
S0073,65,7,7,0,5,6,7,6,3,2,1,5,2,5,4,5,2,5,5,6,4,1,5,5,1,1,4,4.4,4.25,5.5,17,3.25,"S0518, S0432, S0232",3
S0074,57,7,1,0,4,5,3,0,1,4,2,1,2,7,3,4,2,2,7,4,2,1,4,1,2,3,4,3.4,2.0,5.5,15,4.5,"S0821, S0669, S0169, S0925, S0579",5
S0075,95,2,1,0,7,2,7,6,6,5,4,4,5,3,4,3,5,7,5,3,1,1,1,4,2,5,4,4.2,4.25,2.5,17,4.25,,0
S0076,78,4,3,0,7,1,3,8,5,2,6,3,2,3,2,7,1,5,1,7,7,2,3,2,3,2,4,4.2,3.5,4.5,16,3.5,"S0358, S0431, S0186, S0957, S0214, S0955",6
