StudentID,Academic_Performance,isolated,WomenDifferent,language,COVID,criticises,MenBetterSTEM,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,comfortable,future,bullying,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,k6_1,k6_2,k6_3,k6_4,k6_5,k6_6,Manbox5_overall,Masculinity_contrained,GrowthMindset,k6_overall,School_support_engage,Friends,Friends_Count
S0001,75,6,7,0,3,1,1,4,6,2,3,2,2,7,6,2,5,4,1,6,2,5,2,4,3,1,2,3.6,3.25,4.0,17,5.25,"S0484, S0451, S0405",3
S0002,68,1,7,0,7,3,5,2,4,1,6,6,7,6,3,1,6,1,1,2,5,3,3,2,5,4,4,3.0,6.25,5.5,21,4.5,"S0648, S0397, S0417, S0407",4
S0003,48,4,1,0,1,1,2,10,5,6,2,3,5,5,5,4,2,3,3,6,7,3,3,5,3,3,3,4.2,2.5,2.5,20,4.75,"S0972, S0187, S0350, S0752, S0027, S0641",6
S0004,71,3,5,0,2,2,1,0,2,7,1,6,3,4,4,7,1,6,4,3,2,3,3,1,2,4,3,3.2,2.5,3.5,16,3.75,"S0213, S0673, S0176, S0237, S0529, S0996",6
S0005,91,2,1,0,2,6,3,7,6,1,3,7,3,7,4,5,2,3,5,7,2,1,4,2,1,5,1,3.8,2.5,4.5,14,4.5,"S0463, S0231, S0575, S0496, S0578",5
S0006,69,2,2,0,7,3,1,7,7,2,3,2,5,6,7,1,1,3,4,5,7,1,5,4,4,4,2,4.0,2.75,3.5,20,6.25,,0
S0007,66,2,7,0,5,5,2,0,5,2,5,6,5,4,5,4,4,4,1,7,6,4,1,1,2,2,1,4.4,4.75,4.5,11,4.25,S0638,1
S0008,79,6,1,1,4,5,5,5,3,2,6,5,6,2,4,7,4,2,7,3,5,2,1,1,3,3,4,4.2,4.5,5.5,14,2.75,"S0112, S0968, S0685, S0093, S0077, S0960, S0073",7
S0009,62,3,4,0,6,2,4,2,4,6,5,5,4,1,3,3,2,3,7,5,7,3,1,2,1,2,5,4.8,4.25,3.0,14,3.0,"S0588, S0507, S0116, S0312",4
S0010,77,2,4,0,3,4,6,9,4,6,1,4,5,1,5,7,1,4,4,7,5,1,1,4,5,5,5,4.2,4.0,3.0,21,4.0,"S0838, S0714, S0324, S0966",4
S0011,92,5,1,0,7,2,1,0,4,3,4,5,7,6,6,2,4,2,1,3,1,5,1,3,4,3,2,2.2,3.25,4.5,18,4.5,"S0544, S0599, S0693, S0006, S0780",5
S0012,52,2,5,0,5,4,6,3,4,5,2,4,3,2,6,7,3,4,5,4,7,2,2,4,1,5,4,4.6,4.0,3.5,18,4.5,"S0002, S0785, S0765, S0999",4
S0013,82,7,3,0,1,1,3,10,7,3,7,3,4,4,6,2,7,7,6,4,6,2,1,5,2,2,1,6.0,4.25,3.0,13,4.0,"S0791, S0507, S0404, S0118, S0723, S0191, S0829",7
S0014,63,7,7,0,2,2,1,8,5,3,4,6,4,1,5,5,7,1,7,1,1,3,4,4,4,4,4,3.4,4.0,4.0,23,2.25,"S0845, S0711, S0495, S0773, S0305",5
S0015,80,1,6,1,4,1,7,9,2,5,1,4,4,5,2,2,7,4,7,4,5,1,1,5,5,2,3,5.4,4.5,4.5,17,4.5,"S0543, S0087",2
