StudentID,Academic_Performance,isolated,WomenDifferent,language,COVID,criticises,MenBetterSTEM,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,comfortable,future,bullying,Friends,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,k6_1,k6_2,k6_3,k6_4,k6_5,k6_6,Manbox5_overall,Masculinity_contrained,GrowthMindset,k6_overall,School_support_engage6,School_support_engage
S0001,48,7,7,0,4,5,1,4,3,2,2,4,2,1,5,3,"S0234, S0167, S0742, S0015, S0052",1,4,4,1,6,5,1,3,3,1,2,3.2,3.0,5.5,15,3.1666666666666665,3.5
S0002,37,4,5,0,7,7,5,7,2,1,1,1,4,5,1,7,"S0581, S0647, S0772",6,1,3,7,6,5,4,2,2,3,3,4.6,3.75,6.5,19,5.166666666666667,5.0
S0003,92,1,4,1,4,6,1,1,2,1,4,3,5,4,7,1,"S0372, S0626, S0585, S0610, S0388, S0323, S0922",6,6,1,6,1,2,2,5,1,1,3,4.0,3.5,6.5,14,5.0,4.5
S0004,62,2,4,0,6,5,4,7,1,1,6,4,2,3,7,2,"S0996, S0220",1,2,1,6,2,3,3,5,4,5,5,2.4,4.0,7.0,25,4.5,4.25
S0005,75,1,5,0,4,1,4,6,5,7,7,4,6,1,2,7,"S0871, S0409, S0391",5,7,6,1,1,4,4,4,1,2,1,4.0,5.5,2.0,16,3.6666666666666665,2.75
S0006,62,4,4,0,1,1,5,2,7,7,6,6,3,5,4,7,"S0864, S0381, S0009, S0922, S0085, S0964",7,6,4,4,6,2,5,3,4,4,3,5.4,4.5,1.0,21,3.8333333333333335,4.25
S0007,65,4,3,0,3,4,2,2,7,2,1,3,5,4,5,3,"S0969, S0176, S0589, S0122, S0164",3,1,4,7,3,2,4,4,1,1,2,3.6,2.75,3.5,14,4.166666666666667,4.0
S0008,71,1,7,0,7,5,1,1,6,1,1,5,3,1,3,7,"S0172, S0118",6,7,5,6,6,5,1,2,4,1,5,6.0,3.0,4.5,18,4.333333333333333,4.0
S0009,90,1,6,0,2,3,3,3,3,7,6,5,2,4,3,3,"S0854, S0599, S0604, S0623, S0343, S0659, S0646",1,7,7,7,2,1,3,1,5,5,3,4.8,4.25,3.0,18,3.8333333333333335,3.25
S0010,81,1,5,0,4,5,4,3,4,3,7,5,1,1,1,5,"S0868, S0790, S0729",3,6,1,3,2,3,3,1,4,4,2,3.0,4.25,4.5,17,3.6666666666666665,3.0
S0011,51,2,6,0,3,7,2,10,4,4,4,7,4,7,5,2,"S0083, S0086",6,5,2,4,2,5,1,1,3,5,4,3.8,4.0,4.0,19,4.666666666666667,5.25
S0012,55,1,6,0,2,1,6,2,4,4,3,4,6,5,7,3,"S0125, S0475",7,3,4,1,7,3,4,4,5,2,1,4.4,5.25,4.0,19,4.5,4.0
S0013,92,6,5,0,6,5,7,1,4,2,4,6,7,7,3,5,"S0050, S0614, S0191, S0983, S0094, S0963, S0359",5,7,7,1,3,2,5,3,4,3,1,4.6,5.75,5.0,18,4.0,5.0
S0014,65,6,7,0,4,4,3,10,3,4,1,1,2,1,6,1,"S0802, S0152, S0317, S0778, S0986, S0713, S0519",1,1,3,2,1,4,3,1,4,2,3,1.6,3.25,4.5,17,3.5,3.0
S0015,82,3,2,0,6,2,3,3,4,1,6,2,2,5,6,3,,7,3,4,5,4,5,2,2,1,3,2,4.6,3.25,5.5,15,4.5,4.0
S0016,51,6,7,0,1,5,7,1,6,1,2,2,4,6,2,1,"S0208, S0817",2,1,7,5,3,5,1,4,3,5,1,3.6,5.0,4.5,19,3.6666666666666665,3.5
S0017,71,5,7,0,6,4,6,4,7,1,4,7,1,4,7,1,"S0774, S0654, S0894",7,3,2,7,5,4,4,2,1,1,2,4.8,4.5,4.0,14,3.3333333333333335,4.0
S0018,89,6,3,1,5,1,2,8,2,1,2,6,6,5,6,6,"S0980, S0463, S0104, S0408, S0412",4,3,3,5,1,3,1,4,1,2,4,3.2,3.25,6.5,15,3.6666666666666665,4.5
S0019,65,2,2,0,5,3,2,4,1,2,7,5,3,4,6,7,"S0720, S0086, S0420",6,2,2,3,3,2,2,4,3,1,5,3.2,3.5,6.5,17,4.833333333333333,5.0
S0020,66,7,2,0,3,7,5,2,3,6,7,5,1,4,3,3,"S0751, S0469, S0818, S0817, S0198",6,3,7,4,7,4,3,1,2,1,5,5.4,3.75,3.5,16,3.5,4.25
S0021,53,4,3,0,4,3,6,8,5,5,3,1,3,6,1,4,"S0632, S0794, S0662, S0273, S0442",7,6,3,2,5,4,4,4,3,2,1,4.6,3.75,3.0,18,4.166666666666667,3.5
S0022,94,6,3,1,4,2,3,5,6,7,4,7,5,1,5,2,"S0667, S0899, S0038, S0216, S0529, S0035, S0190",5,6,4,1,7,5,3,5,4,3,5,4.6,3.75,1.5,25,2.1666666666666665,2.5
