StudentID,Academic_Performance,isolated,WomenDifferent,language,COVID,criticises,MenBetterSTEM,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,comfortable,future,bullying,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,k6_1,k6_2,k6_3,k6_4,k6_5,k6_6,Manbox5_overall,Masculinity_contrained,GrowthMindset,k6_overall,School_support_engage,Friends,Friends_Count
S0001,46,6,6,0,3,1,3,1,7,1,5,7,7,5,4,4,5,1,6,2,3,3,5,4,2,1,2,3.4,5.25,4.0,17,3.0,"S0095, S0649, S0545, S0473, S0809, S0224, S0164",7
S0002,67,3,7,0,1,5,7,3,6,7,6,3,6,5,4,6,1,3,5,4,6,5,3,5,5,3,5,3.8,6.5,1.5,26,4.75,"S0500, S0087, S0797, S0594",4
S0003,63,7,1,0,1,6,1,5,2,3,2,3,2,6,5,4,4,4,1,7,7,5,3,1,4,5,1,4.6,1.5,5.5,19,4.25,"S0214, S0198, S0065, S0045, S0458, S0115",6
S0004,61,2,5,0,6,4,5,5,1,4,6,3,7,5,3,4,3,5,3,2,2,5,2,1,5,4,2,3.0,5.75,5.5,19,4.75,,0
S0005,83,4,1,0,5,6,5,5,1,4,7,7,1,1,5,7,5,2,4,1,2,2,5,5,1,1,5,2.8,3.5,5.5,19,2.75,"S0239, S0258, S0741",3
S0006,88,6,4,0,7,3,2,9,4,3,7,5,1,7,4,3,5,2,5,6,3,2,5,3,1,1,5,4.2,3.5,4.5,17,4.0,"S0814, S0908, S0380",3
S0007,76,3,6,0,6,1,7,9,2,6,7,6,3,7,7,2,3,7,4,1,4,3,2,2,5,4,5,3.8,5.75,4.0,21,5.25,"S0558, S0953, S0663, S0913, S0593",5
S0008,73,7,3,0,1,5,4,9,4,6,7,5,7,4,3,5,1,1,7,6,7,4,1,2,3,3,3,4.4,5.25,3.0,16,2.75,"S0836, S0152, S0938, S0022, S0292, S0633, S0096",7
S0009,54,2,2,0,4,3,4,5,2,6,4,5,5,5,5,1,4,1,4,7,5,1,4,4,5,4,3,4.2,3.75,4.0,21,4.75,"S0459, S0836, S0170, S0494, S0857, S0728, S0228",7
S0010,69,7,7,1,7,6,7,2,7,5,4,5,1,3,7,4,3,5,5,3,5,3,5,5,1,2,5,4.2,4.75,2.0,21,3.5,,0
S0011,91,5,7,0,3,5,7,3,3,5,3,2,2,1,5,5,5,4,4,7,4,5,4,2,2,2,5,4.8,4.75,4.0,20,3.75,,0
S0012,66,3,7,0,7,5,5,8,4,2,1,1,7,4,2,5,1,6,5,7,6,4,5,5,1,4,2,5.0,5.0,5.0,21,4.5,"S0369, S0165, S0692, S0924, S0265",5
S0013,62,2,4,0,4,3,1,1,4,1,2,3,7,2,6,7,7,3,2,5,6,3,3,4,1,1,1,4.6,3.5,5.5,13,4.75,"S0436, S0726, S0865, S0601, S0795",5
S0014,69,4,5,0,4,2,2,5,5,1,1,1,1,3,7,4,3,1,4,5,2,2,3,3,4,3,5,3.0,2.25,5.0,20,5.25,"S0002, S0175, S0814, S0956",4
S0015,61,6,5,0,7,2,7,5,7,7,6,3,6,2,4,6,5,1,4,7,6,5,5,2,5,2,4,4.6,6.0,1.0,23,3.25,"S0872, S0239, S0189, S0630, S0915",5
S0016,68,6,4,1,1,5,1,0,5,7,5,3,2,3,2,5,1,2,2,3,6,3,3,2,3,1,4,2.8,3.0,2.0,16,3.0,,0
S0017,75,7,2,0,7,7,7,2,5,1,6,7,5,1,4,2,2,2,3,3,4,5,2,5,2,1,1,2.8,5.0,5.0,16,1.75,"S0630, S0712, S0103, S0230",4
S0018,69,5,4,0,1,5,7,6,7,7,3,6,4,6,1,3,5,2,2,1,7,3,1,2,3,5,2,3.4,4.5,1.0,16,3.0,"S0760, S0529, S0306, S0071, S0151",5
