StudentID,Academic_Performance,isolated,WomenDifferent,language,COVID,criticises,MenBetterSTEM,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,comfortable,future,bullying,Friends,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,k6_1,k6_2,k6_3,k6_4,k6_5,k6_6,Manbox5_overall,Masculinity_contrained,GrowthMindset,k6_overall,School_support_engage6,School_support_engage
S0001,63,7,5,0,3,2,1,7,1,3,7,3,7,3,5,4,"S0947, S0151, S0203",4,1,7,5,7,1,1,2,1,4,3,4.8,5.0,6.0,12,3.3333333333333335,3.5
S0002,85,3,2,1,5,2,3,1,6,2,4,6,6,2,1,6,"S0851, S0727, S0078, S0032, S0111",4,6,6,5,4,5,2,1,5,4,2,5.0,3.75,4.0,19,3.0,2.75
S0003,85,5,2,0,1,4,4,3,5,6,4,2,7,6,5,7,"S0389, S0749",7,5,3,2,6,1,5,1,3,4,2,4.6,4.25,2.5,16,5.166666666666667,5.5
S0004,49,5,4,0,6,4,5,3,4,5,2,1,1,7,2,1,,5,7,2,1,3,3,2,1,5,1,1,3.6,3.0,3.5,13,4.0,3.5
S0005,88,2,7,0,6,4,3,4,1,3,3,3,3,5,6,2,"S0052, S0142, S0871, S0750, S0608",4,4,3,1,1,4,1,3,2,3,4,2.6,4.0,6.0,17,4.666666666666667,4.25
S0006,49,1,1,0,2,4,6,9,4,6,1,5,7,6,4,3,,6,4,7,6,2,3,1,1,5,1,3,5.0,3.75,3.0,14,4.5,4.25
S0007,89,3,4,0,1,1,6,4,7,6,6,2,4,2,5,1,"S0459, S0791, S0670",6,4,4,1,4,5,5,2,2,2,2,3.8,5.0,1.5,18,3.3333333333333335,2.25
S0008,66,1,2,0,1,3,7,8,2,1,2,1,4,7,1,4,"S0951, S0954, S0748",7,4,2,2,6,5,5,5,3,2,2,4.2,3.75,6.5,22,4.833333333333333,3.75
S0009,53,3,2,0,1,5,4,4,1,6,4,1,3,1,5,2,"S0440, S0004, S0570, S0184, S0132, S0238",7,4,1,3,6,2,4,2,1,2,4,4.2,3.25,4.5,15,4.166666666666667,3.25
S0010,73,5,3,0,1,5,3,1,6,3,7,5,1,2,2,4,"S0891, S0944, S0915, S0936, S0351",1,4,5,5,3,1,3,3,1,3,3,3.6,3.5,3.5,14,3.1666666666666665,3.25
S0011,45,4,1,0,5,1,1,10,7,4,3,4,3,6,6,2,"S0491, S0580, S0240, S0079, S0078, S0425",2,4,3,3,2,4,5,3,3,4,1,2.8,2.0,2.5,20,3.8333333333333335,3.75
S0012,68,2,2,0,1,6,2,8,5,5,2,5,6,3,5,4,"S0743, S0786, S0750, S0896, S0066",5,1,2,6,7,3,5,1,1,4,1,4.2,3.0,3.0,15,4.5,4.5
S0013,73,7,3,1,5,4,3,6,7,2,3,7,1,7,4,3,S0946,4,6,6,2,3,4,1,4,2,1,2,4.2,2.5,3.5,14,3.3333333333333335,4.5
S0014,80,5,4,0,1,5,1,5,5,7,4,3,1,1,7,5,"S0918, S0668",7,4,3,7,6,2,2,2,2,5,3,5.4,2.5,2.0,16,4.333333333333333,4.5
S0015,59,1,2,0,6,4,1,5,6,5,7,5,1,3,7,4,"S0665, S0798, S0002, S0831, S0576, S0508",3,5,6,3,2,5,5,2,1,5,1,3.8,2.75,2.5,19,4.666666666666667,4.5
S0016,53,3,3,1,1,7,4,9,6,2,5,2,5,2,1,5,"S0041, S0962",5,5,3,5,2,5,2,1,5,5,5,4.0,4.25,4.0,23,4.333333333333333,3.75
