StudentID,Academic_Performance,isolated,WomenDifferent,language,COVID,criticises,MenBetterSTEM,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,comfortable,future,bullying,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,k6_1,k6_2,k6_3,k6_4,k6_5,k6_6,Manbox5_overall,Masculinity_contrained,GrowthMindset,k6_overall,School_support_engage,Friends,Friends_Count
S0001,55,5,4,0,6,5,3,10,4,4,5,3,7,3,6,4,4,6,3,4,5,1,1,3,4,3,5,4.4,4.75,4.0,17,4.25,"S0556, S0940, S0177, S0734, S0267, S0897",6
S0002,94,4,3,0,4,1,7,1,7,3,5,6,3,3,6,1,1,4,5,1,2,1,5,3,2,4,5,2.6,4.5,3.0,20,3.75,"S0651, S0102, S0970, S0580, S0359, S0804, S0712",7
S0003,82,7,7,0,4,3,5,2,6,4,5,6,2,3,1,7,2,6,4,7,5,5,2,3,3,4,2,4.8,4.75,3.0,19,1.75,"S0304, S0715",2
S0004,58,1,5,0,1,3,4,1,3,4,5,2,1,1,5,4,3,3,4,5,6,3,4,1,4,3,5,4.2,3.75,4.5,20,4.75,"S0149, S0725, S0978, S0577, S0322, S0504, S0722",7
S0005,37,5,7,0,7,2,1,3,6,5,4,2,7,4,7,1,3,7,3,7,5,5,2,4,2,4,3,5.0,4.75,2.5,20,5.0,"S0220, S0707, S0387",3
S0006,73,1,5,0,3,1,3,5,5,6,2,2,3,3,7,2,7,2,6,4,2,3,2,5,3,2,3,4.2,3.25,2.5,18,5.75,"S0067, S0692",2
S0007,100,6,2,1,4,4,5,2,1,6,1,6,4,5,7,6,7,2,6,7,6,5,2,1,5,3,5,5.6,3.0,4.5,21,4.0,"S0610, S0723, S0545, S0026, S0526, S0422",6
S0008,67,4,1,0,7,1,5,3,6,3,7,3,4,7,1,6,1,4,3,7,3,2,1,1,5,5,5,3.6,4.25,3.5,19,4.25,S0861,1
S0009,43,4,2,0,2,3,7,1,5,5,6,3,5,6,4,3,5,3,4,5,7,2,1,4,2,4,2,4.8,5.0,3.0,15,4.75,"S0771, S0866, S0264, S0321",4
S0010,54,5,4,0,7,7,1,5,1,1,3,7,5,6,2,3,4,1,6,5,2,4,2,2,1,1,5,3.6,3.25,7.0,15,3.0,"S0453, S0332",2
S0011,55,5,1,1,4,2,3,7,5,4,3,5,7,1,7,5,1,6,4,6,6,5,4,3,5,3,3,4.6,3.5,3.5,23,3.5,"S0136, S0978, S0315, S0348, S0200, S0089, S0079",7
S0012,100,2,2,1,4,5,3,0,7,3,7,1,6,6,7,7,6,2,5,7,6,4,5,4,2,2,5,5.2,4.5,3.0,22,6.5,"S0350, S0259, S0371, S0128",4
S0013,88,2,2,0,5,3,4,5,1,6,2,7,7,6,5,6,3,1,5,3,4,1,5,4,4,4,1,3.2,3.75,4.5,19,4.5,"S0751, S0600, S0701, S0729, S0779, S0202",6
S0014,37,5,2,1,6,6,6,10,6,1,1,6,1,2,3,2,1,6,2,2,4,1,5,5,2,3,1,3.0,2.5,4.5,17,2.5,"S0508, S0894, S0712, S0179, S0376, S0872",6
S0015,92,7,5,1,2,2,3,7,1,4,6,5,6,7,6,6,3,4,3,6,1,1,5,2,2,2,4,3.4,5.0,5.5,16,4.25,"S0042, S0745, S0804, S0134, S0528",5
S0016,83,3,5,0,2,2,2,0,4,2,1,2,5,4,5,2,3,5,4,6,7,3,5,3,3,4,2,5.0,3.25,5.0,20,5.0,,0
S0017,76,3,7,0,4,3,4,5,6,3,3,3,7,1,3,3,3,7,2,3,5,3,5,1,1,3,1,4.0,5.25,3.5,14,3.5,"S0409, S0606, S0455",3
S0018,63,7,3,1,3,4,5,4,6,3,6,1,6,4,7,1,1,4,4,2,4,4,5,1,1,5,2,3.0,5.0,3.5,18,4.75,,0
S0019,81,5,7,0,1,6,4,4,3,4,2,5,5,5,6,2,1,5,7,2,2,3,5,1,5,4,3,3.4,4.5,4.5,21,4.25,"S0441, S0960, S0281, S0499, S0577, S0574, S0728",7
S0020,57,4,1,1,2,3,7,8,3,3,7,7,1,3,2,3,7,4,5,2,1,3,5,3,1,1,2,3.8,4.0,5.0,15,2.5,"S0563, S0923, S0161, S0438, S0034",5
S0021,60,6,7,0,1,1,3,6,5,2,4,3,6,6,2,4,7,6,2,5,6,2,2,5,5,3,2,5.2,5.0,4.5,19,3.75,"S0871, S0044, S0081, S0226, S0850, S0960, S0996",7
S0022,56,6,1,0,2,2,3,6,3,2,6,3,6,6,1,5,6,4,4,6,6,4,2,3,5,2,5,5.2,4.0,5.5,21,3.5,"S0646, S0317, S0976, S0764, S0305",5
S0023,50,4,3,0,1,6,5,2,3,4,7,1,7,2,2,2,4,2,5,2,2,5,2,2,2,3,2,3.0,5.5,4.5,16,3.75,"S0305, S0591",2
S0024,67,6,2,0,4,7,6,6,5,4,7,6,3,1,1,7,6,6,5,6,4,1,4,3,1,4,2,5.4,4.5,3.5,15,1.5,"S0582, S0146, S0203, S0989",4
S0025,61,3,7,0,6,3,3,4,7,1,5,1,6,1,2,7,3,6,5,7,1,1,5,1,1,1,4,4.4,5.25,4.0,13,3.75,"S0444, S0350, S0617, S0273",4
S0026,51,4,3,0,5,7,1,9,5,3,7,4,1,5,4,1,3,3,1,5,7,1,1,5,2,3,1,3.8,3.0,4.0,13,4.25,"S0631, S0444, S0183, S0994, S0330, S0255",6
S0027,79,4,6,0,3,3,5,9,4,5,4,5,6,4,3,5,7,1,2,5,3,4,2,3,4,4,2,3.6,5.25,3.5,19,3.5,,0
S0028,68,2,6,1,7,4,7,6,6,5,4,6,1,2,2,5,1,7,3,7,3,5,5,3,5,2,5,4.2,4.5,2.5,25,3.0,"S0974, S0760, S0400, S0216, S0689, S0782, S0106",7
S0029,54,6,7,0,5,7,1,5,7,2,7,2,7,6,7,1,1,7,1,3,4,5,4,2,1,5,1,3.2,5.5,3.5,18,5.25,"S0036, S0672, S0221, S0967, S0290, S0912, S0540",7
S0030,71,7,4,0,6,4,7,6,4,6,5,1,5,5,4,7,4,2,1,4,7,5,5,3,3,3,1,3.6,5.25,3.0,20,4.25,S0073,1
S0031,87,3,5,0,3,5,7,1,5,7,4,6,4,3,1,1,2,7,5,3,1,2,5,5,1,1,2,3.6,5.0,2.0,16,2.75,"S0731, S0508",2
S0032,78,3,4,1,6,4,6,3,7,3,7,2,3,7,5,4,6,5,1,6,3,4,1,3,3,5,2,4.2,5.0,3.0,18,5.75,"S0135, S0123, S0893",3
S0033,75,1,2,0,6,7,5,0,4,7,3,1,7,5,3,6,7,6,5,6,3,5,1,5,1,3,2,5.4,4.25,2.5,17,5.5,"S0257, S0017, S0447",3
S0034,37,6,4,0,6,5,2,0,2,7,4,6,6,1,3,5,6,2,7,2,5,4,2,4,4,5,3,4.4,4.0,3.5,22,2.0,"S0626, S0018, S0219, S0857, S0198",5
S0035,49,3,3,1,2,1,7,8,3,3,2,4,5,1,7,4,7,3,3,6,4,5,3,2,2,3,3,4.6,4.25,5.0,18,4.25,S0070,1
S0036,74,6,2,0,2,4,4,10,6,5,4,7,7,3,2,4,1,3,5,1,3,4,2,4,1,3,1,2.6,4.25,2.5,15,2.0,"S0681, S0301, S0368, S0167",4
S0037,49,5,4,0,1,3,7,0,7,1,5,2,6,2,3,4,6,3,1,7,7,4,4,1,4,1,3,4.8,5.5,4.0,17,3.5,"S0907, S0399, S0149, S0034",4
S0038,44,6,5,0,3,3,4,0,1,7,1,3,6,1,4,2,7,2,2,6,6,2,3,2,5,1,3,4.6,4.0,4.0,16,3.0,S0443,1
S0039,96,7,1,0,7,6,3,4,5,5,6,4,2,3,1,1,7,3,1,5,1,1,2,2,1,5,2,3.4,3.0,3.0,13,2.25,S0288,1
S0040,46,6,1,0,3,3,4,0,6,3,1,1,6,6,6,3,1,6,3,1,1,1,3,2,1,2,1,2.4,3.0,3.5,10,5.25,"S0494, S0280, S0657, S0860",4
S0041,78,7,4,0,6,1,6,1,4,2,6,4,3,7,4,5,5,5,3,1,5,1,3,3,1,5,4,3.8,4.75,5.0,17,4.0,"S0439, S0270, S0268",3
S0042,73,4,2,0,6,7,1,6,3,3,5,6,3,4,2,5,7,4,1,1,4,2,1,3,2,5,2,3.4,2.75,5.0,15,3.0,S0142,1
S0043,81,6,3,0,1,3,7,9,7,3,6,3,6,1,5,2,1,5,3,6,5,3,3,5,5,1,5,4.0,5.5,3.0,22,3.25,"S0561, S0336, S0644, S0084",4
S0044,39,3,6,0,4,6,4,8,3,7,5,6,2,6,1,1,4,6,2,3,5,3,4,4,5,1,3,4.0,4.25,3.0,20,3.5,"S0476, S0533, S0898",3
S0045,80,2,1,0,1,4,4,7,5,4,7,2,5,2,5,1,4,2,2,6,4,2,1,3,4,5,1,3.6,4.25,3.5,16,4.75,"S0620, S0163",2
S0046,82,5,3,0,1,5,3,5,2,6,3,6,2,5,5,5,1,1,5,7,1,5,4,4,3,3,4,3.0,2.75,4.0,23,3.75,"S0439, S0739, S0574, S0572, S0538, S0176",6
S0047,80,4,3,1,4,2,5,0,4,4,3,1,6,6,4,7,3,1,6,6,7,5,4,3,3,4,1,4.6,4.25,4.0,20,5.25,"S0851, S0154, S0340, S0787",4
S0048,63,5,1,0,7,2,1,2,7,5,7,1,2,3,6,1,1,3,4,3,2,5,1,5,5,3,5,2.6,2.75,2.0,24,4.75,S0341,1
S0049,58,5,2,0,3,7,2,6,3,6,7,3,1,7,6,5,3,3,2,7,2,5,3,5,2,2,3,3.4,3.0,3.5,20,5.25,"S0728, S0443, S0819",3
S0050,91,2,5,0,1,1,2,4,4,7,5,4,4,7,1,6,7,2,4,1,1,4,1,2,2,2,5,3.0,4.0,2.5,16,4.5,"S0123, S0066, S0188, S0602, S0753, S0215",6
S0051,65,1,5,1,5,4,5,10,1,7,6,1,6,2,2,6,2,4,6,1,3,2,5,4,4,2,5,3.2,5.5,4.0,22,4.5,"S0516, S0572, S0616",3
S0052,73,3,5,0,5,4,1,2,4,7,4,4,7,5,4,7,1,1,5,7,3,2,3,5,5,4,5,3.4,4.25,2.5,24,4.5,"S0140, S0679, S0738, S0537",4
S0053,42,2,6,0,2,1,6,10,1,6,2,4,7,7,3,5,7,1,1,1,3,1,2,2,1,3,1,2.6,5.25,4.5,10,5.0,"S0768, S0355, S0618, S0612, S0631",5
S0054,77,1,1,0,3,7,6,10,7,3,7,1,5,6,1,2,5,6,5,7,3,3,5,2,3,2,3,5.2,4.75,3.0,18,5.25,"S0612, S0984, S0703, S0412, S0490, S0949, S0957",7
S0055,82,4,6,1,7,6,7,6,4,5,1,6,7,3,2,2,2,6,7,6,4,2,4,5,3,4,4,5.0,5.25,3.5,22,2.75,,0
S0056,73,5,3,1,5,5,6,5,7,6,2,4,3,5,2,1,5,2,7,7,2,5,2,5,5,2,1,4.6,3.5,1.5,20,3.5,"S0591, S0375",2
S0057,69,6,5,0,2,4,1,9,1,6,4,1,6,7,6,2,7,7,1,7,6,2,5,3,4,1,1,5.6,4.0,4.5,16,5.5,"S0155, S0192, S0482, S0390, S0381, S0771",6
S0058,83,4,1,0,1,1,4,8,2,7,1,2,2,6,7,1,3,2,6,5,7,5,4,5,3,4,1,4.6,2.0,3.5,22,5.75,"S0053, S0681, S0062, S0708, S0493, S0427",6
S0059,89,5,3,0,6,7,1,10,4,4,2,1,3,7,7,4,7,3,2,7,2,4,3,1,2,1,4,4.2,2.25,4.0,15,6.0,"S0634, S0483, S0395, S0615, S0810",5
S0060,56,2,7,1,2,1,4,2,2,6,4,2,6,7,6,3,7,2,7,5,3,5,3,5,2,2,5,4.8,5.25,4.0,22,6.25,"S0902, S0223, S0754",3
S0061,60,2,5,1,3,5,4,6,6,2,3,1,3,2,4,5,2,5,2,7,5,2,5,1,2,3,1,4.2,3.75,4.0,14,4.75,"S0303, S0283",2
S0062,73,4,7,0,1,4,4,6,6,2,4,4,3,6,1,4,4,2,3,5,7,1,2,1,4,3,3,4.2,4.5,4.0,14,3.75,"S0131, S0343, S0845",3
S0063,68,7,6,0,5,2,1,2,1,7,7,2,4,3,5,1,3,2,5,6,2,1,4,5,3,1,1,3.6,4.5,4.0,15,3.75,"S0427, S0261",2
S0064,57,7,2,0,5,7,3,5,6,3,4,6,1,5,3,6,1,7,2,4,1,1,4,3,5,5,2,3.0,2.5,3.5,20,2.75,"S0651, S0204, S0309, S0365, S0054, S0856",6
S0065,57,7,3,0,7,6,1,10,5,7,3,7,1,1,7,4,5,6,5,6,1,2,2,5,3,2,5,4.6,2.0,2.0,19,2.5,,0
S0066,71,6,1,0,4,2,2,1,7,5,2,1,4,3,2,6,3,2,6,3,7,2,5,4,2,4,1,4.2,2.25,2.0,18,3.5,"S0413, S0573, S0129, S0102, S0593, S0976, S0750",7
S0067,65,4,1,0,6,4,3,4,3,6,2,6,4,3,3,6,1,1,2,7,7,3,4,4,3,1,1,3.6,2.5,3.5,16,3.0,"S0083, S0446, S0781, S0873, S0508, S0722",6
S0068,93,3,6,0,4,7,2,5,5,7,4,4,2,4,5,3,2,3,1,7,1,5,3,2,2,1,2,2.8,3.5,2.0,15,4.5,"S0063, S0104, S0011",3
S0069,52,3,6,0,1,1,5,4,7,6,3,3,5,7,7,6,4,6,2,2,2,1,4,4,3,4,1,3.2,4.75,1.5,17,6.0,"S0533, S0019, S0745",3
S0070,88,7,5,1,2,5,1,4,6,1,2,3,2,7,4,1,2,3,2,5,2,5,4,4,4,2,4,2.8,2.5,4.5,23,4.25,,0
S0071,95,5,6,0,6,6,4,10,7,7,3,1,5,1,7,7,4,2,7,5,6,4,5,2,5,3,3,4.8,4.5,1.0,22,4.5,S0564,1
S0072,64,2,4,1,4,4,2,1,1,5,3,1,4,5,4,7,7,1,5,5,7,1,3,2,2,5,4,5.0,3.25,5.0,17,5.5,,0
S0073,72,2,2,0,2,6,3,7,1,6,6,2,1,4,5,6,3,4,3,6,5,3,3,2,2,5,5,4.2,3.0,4.5,20,5.25,"S0172, S0747, S0420, S0063, S0054, S0003",6
S0074,46,5,7,0,2,4,3,2,1,1,3,2,3,3,5,3,6,6,5,3,7,3,3,1,1,1,5,5.4,4.0,7.0,14,4.25,"S0174, S0002, S0433, S0255",4
S0075,71,7,5,1,4,3,3,3,7,4,2,6,7,2,1,4,4,4,1,1,2,3,2,5,4,4,4,2.4,4.25,2.5,22,1.5,"S0843, S0526, S0536, S0904",4
S0076,55,6,4,0,4,3,3,0,6,1,7,3,7,4,1,3,6,7,1,5,1,1,3,1,1,3,2,4.0,5.25,4.5,11,3.0,"S0042, S0344, S0854, S0689, S0829",5
S0077,73,5,1,0,3,7,2,10,4,6,3,7,6,2,7,6,3,4,6,4,4,5,5,2,3,2,4,4.2,3.0,3.0,21,3.25,"S0529, S0924",2
S0078,63,6,4,1,4,2,3,6,2,1,6,1,2,4,7,5,5,6,4,7,4,5,1,3,2,5,1,5.2,3.75,6.5,17,5.0,"S0746, S0661, S0548, S0424, S0088, S0464",6
S0079,73,1,3,1,6,2,3,4,2,6,1,1,4,6,5,1,1,2,6,7,1,3,1,4,4,1,2,3.4,2.75,4.0,15,6.25,"S0822, S0222",2
S0080,70,3,1,0,4,1,4,4,2,3,4,1,5,3,6,6,4,2,2,6,6,3,2,2,3,2,2,4.0,3.5,5.5,14,5.25,,0
S0081,91,1,5,1,3,4,7,0,7,6,3,2,1,1,5,6,4,1,5,5,6,2,5,3,4,1,3,4.2,4.0,1.5,18,4.75,"S0101, S0218, S0121, S0192",4
S0082,53,1,2,0,2,1,6,10,3,1,5,4,5,2,4,5,2,3,3,5,6,2,1,3,5,2,5,3.8,4.5,6.0,18,4.25,"S0277, S0598, S0332, S0727, S0112",5
S0083,86,2,2,0,7,1,2,2,3,2,2,6,4,6,1,5,2,4,4,5,4,1,1,3,2,4,4,3.8,2.5,5.5,15,3.75,"S0442, S0665, S0216",3
S0084,51,5,5,0,6,1,6,1,1,2,2,5,7,4,2,6,5,6,5,7,1,1,5,2,5,5,3,4.8,5.0,6.5,21,3.0,S0465,1
S0085,57,1,3,0,2,2,3,4,7,3,4,4,4,7,1,5,4,4,2,1,6,1,5,3,5,3,1,3.4,3.5,3.0,18,4.75,"S0164, S0457",2
S0086,77,5,7,0,7,5,7,3,3,1,5,6,4,3,5,6,4,4,4,3,2,2,5,2,1,1,1,3.4,5.75,6.0,12,3.25,"S0216, S0844, S0764, S0974, S0455",5
S0087,61,3,1,0,6,6,1,8,4,7,1,6,7,1,4,7,3,5,5,5,6,5,1,5,5,1,2,4.8,2.5,2.5,19,3.0,"S0751, S0802",2
S0088,96,5,3,1,7,4,7,0,5,7,3,4,6,7,7,6,7,7,2,5,7,4,5,1,1,5,5,5.6,4.75,2.0,21,5.25,,0
S0089,99,4,4,0,3,2,2,0,7,6,5,7,3,7,3,7,2,6,3,6,7,4,2,3,4,1,3,4.8,3.5,1.5,17,3.75,"S0049, S0065",2
S0090,77,1,4,0,4,3,7,6,7,6,6,1,2,6,4,6,2,3,6,7,6,2,5,5,5,4,3,4.8,4.75,1.5,24,6.0,"S0699, S0182, S0654, S0718, S0549, S0175",6
S0091,85,7,1,0,6,2,5,4,4,1,4,1,5,2,7,7,7,6,4,4,3,4,2,4,2,3,1,4.8,3.75,5.5,16,4.25,"S0227, S0711, S0586, S0320, S0100, S0547",6
S0092,73,7,7,0,6,4,3,8,5,1,7,7,3,1,5,6,2,6,5,2,2,2,3,1,1,4,2,3.4,5.0,5.0,13,2.0,,0
S0093,40,6,4,0,7,1,3,10,4,5,1,7,6,3,4,7,7,2,5,2,4,2,2,4,3,4,3,4.0,3.5,3.5,18,2.5,"S0095, S0595, S0939, S0842, S0011, S0673",6
S0094,65,1,6,0,5,1,1,6,4,5,6,4,7,6,2,5,7,2,3,2,2,1,2,4,5,5,3,3.2,5.0,3.5,20,4.75,"S0516, S0988, S0713, S0784, S0180, S0500, S0232",7
S0095,68,3,6,0,4,2,4,1,3,6,4,3,2,3,1,6,5,7,2,2,2,2,3,5,3,1,3,3.6,4.0,3.5,17,3.5,S0887,1
S0096,90,3,1,0,1,2,5,3,1,5,1,5,1,1,1,6,1,4,3,4,1,3,2,5,5,1,4,2.6,2.0,5.0,20,2.5,"S0474, S0735, S0249, S0298, S0835, S0154, S0135",7
S0097,60,1,7,0,3,4,7,5,7,7,1,4,5,6,5,3,4,1,6,4,6,3,5,3,5,5,3,4.2,5.0,1.0,24,5.5,"S0929, S0385, S0974, S0474",4
S0098,79,2,4,0,3,4,4,9,7,1,1,6,3,3,1,6,1,3,6,5,1,4,3,1,5,2,1,3.2,3.0,4.0,16,3.0,S0093,1
S0099,77,7,4,1,6,2,4,8,6,1,3,2,7,3,6,2,3,3,2,7,5,3,5,4,5,5,4,4.0,4.5,4.5,26,4.0,,0
S0100,46,1,2,1,6,2,5,6,1,2,1,7,5,5,5,5,2,2,7,5,7,2,4,5,1,1,3,4.6,3.25,6.5,16,4.5,"S0931, S0929, S0225, S0549, S0243",5
S0101,76,5,2,0,3,3,4,1,4,6,3,2,4,7,1,6,7,6,4,4,7,2,5,5,3,4,2,5.6,3.25,3.0,21,4.25,"S0199, S0463, S0298, S0175, S0321, S0302, S0720",7
S0102,71,6,3,0,3,2,2,9,7,4,6,4,4,6,5,6,1,2,1,7,3,1,2,5,3,4,2,2.8,3.75,2.5,17,4.25,"S0663, S0895, S0481, S0042, S0659, S0079",6
S0103,58,1,4,0,2,7,1,10,4,3,5,5,5,2,5,7,3,6,6,6,5,4,2,3,4,4,4,5.2,3.75,4.5,21,4.25,"S0362, S0249, S0014, S0327, S0320",5
S0104,60,6,5,0,6,7,3,5,4,7,4,2,3,6,3,2,3,7,1,2,7,1,2,4,3,4,2,4.0,3.75,2.5,16,4.25,"S0546, S0826, S0431, S0319, S0991, S0829",6
S0105,71,1,6,0,6,7,2,1,1,3,6,5,1,2,4,1,6,2,3,4,7,4,4,2,2,5,2,4.4,3.75,6.0,19,4.0,"S0145, S0617, S0710, S0902, S0785, S0189",6
S0106,41,7,1,0,7,6,5,3,4,7,7,4,3,2,6,7,7,7,2,5,7,1,4,1,3,2,1,5.6,4.0,2.5,12,3.25,"S0891, S0178, S0727, S0352, S0849, S0747, S0508",7
S0107,94,6,7,1,2,2,5,9,6,4,5,6,5,7,5,3,4,6,1,5,7,1,4,2,2,2,3,4.6,5.5,3.0,14,4.0,"S0213, S0265",2
S0108,57,1,1,0,5,5,2,3,4,5,7,6,2,6,3,3,7,1,6,1,3,5,5,2,2,4,1,3.6,3.0,3.5,19,4.5,"S0002, S0769, S0038, S0678, S0597, S0141",6
S0109,74,7,3,0,7,2,5,2,6,4,5,2,3,6,4,4,5,3,2,6,7,4,3,5,1,4,2,4.6,4.0,3.0,19,4.25,"S0285, S0793, S0036",3
S0110,63,2,4,0,5,5,1,4,1,5,5,5,1,7,4,3,3,5,2,2,2,1,5,2,2,1,2,2.8,2.75,5.0,13,5.0,,0
S0111,61,7,6,0,5,1,4,2,6,2,7,7,6,4,5,7,5,7,4,2,6,3,5,3,3,2,3,4.8,5.75,4.0,19,2.75,S0931,1
S0112,63,4,4,0,3,5,7,3,5,7,4,1,3,1,4,3,3,2,4,5,6,1,3,1,5,1,4,4.0,4.5,2.0,15,4.0,"S0156, S0352, S0710",3
S0113,74,3,7,0,5,5,5,4,6,5,5,6,4,3,6,5,6,6,6,6,3,3,2,2,1,2,3,5.4,5.25,2.5,13,4.0,"S0679, S0694, S0578, S0109",4
S0114,65,3,6,0,4,2,6,9,7,7,6,4,6,5,6,7,3,2,3,1,5,5,3,4,5,5,2,2.8,6.0,1.0,24,5.0,S0533,1
S0115,84,4,3,0,7,7,3,1,5,2,7,1,5,7,1,6,7,6,2,5,5,5,3,4,5,1,1,5.0,4.5,4.5,19,4.75,"S0432, S0837, S0565, S0313, S0017, S0741",6
S0116,79,4,7,0,7,5,2,5,7,4,6,1,3,1,6,5,5,1,6,3,3,1,4,5,3,2,4,3.6,4.5,2.5,19,4.5,"S0001, S0397, S0215, S0637",4
