StudentID,Academic_Performance,isolated,WomenDifferent,language,COVID,criticises,MenBetterSTEM,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,comfortable,future,bullying,Friends,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,k6_1,k6_2,k6_3,k6_4,k6_5,k6_6,Manbox5_overall,Masculinity_contrained,GrowthMindset,k6_overall,School_support_engage6,School_support_engage
S0001,70,2,4,0,3,4,2,3,3,5,1,6,7,2,2,1,"S0378, S0476, S0621, S0687, S0565, S0566, S0267, S0794, S0595",1,2,1,7,1,1,1,1,1,5,5,2.4,3.5,4.0,14,2.8333333333333335,2.25
S0002,64,3,4,0,3,3,6,6,3,4,5,7,3,2,3,4,"S0230, S0982, S0126, S0659, S0679",5,6,5,4,1,3,5,1,2,4,3,4.2,4.5,4.5,18,3.0,3.0
S0003,87,1,7,0,6,7,5,2,2,4,7,5,2,6,5,3,"S0401, S0448, S0187, S0326, S0779, S0833, S0531, S0609, S0142, S0687",4,7,5,1,3,4,5,1,4,3,3,4.0,5.25,5.0,20,5.166666666666667,5.25
S0004,61,7,4,0,1,6,6,2,5,3,4,1,2,5,7,5,"S0343, S0080, S0452, S0619, S0196, S0904, S0056",3,6,3,4,3,1,5,2,3,4,3,3.8,4.0,4.0,18,5.166666666666667,5.75
S0005,71,7,7,0,3,4,7,9,1,6,6,2,6,5,6,7,"S0458, S0498, S0674, S0062, S0813, S0805, S0429, S0126",2,3,6,6,3,3,2,1,4,1,4,4.0,6.5,4.5,15,4.833333333333333,5.5
S0006,69,5,6,0,6,5,5,6,4,2,7,2,6,2,6,4,"S0620, S0701, S0502, S0415, S0126, S0231, S0935, S0525",3,5,4,1,7,1,5,5,1,3,1,4.0,6.0,5.0,16,4.333333333333333,4.25
S0007,100,1,7,1,3,2,7,0,1,3,7,7,3,2,7,5,"S0980, S0492, S0770, S0902, S0519, S0865, S0564, S0897, S0757",2,5,5,7,3,5,3,3,5,2,4,4.4,6.0,6.0,22,4.0,4.0
S0008,92,7,7,0,6,7,4,4,4,7,7,1,7,7,5,2,"S0216, S0384, S0881, S0979, S0780, S0057, S0745, S0711, S0278, S0392",7,5,3,1,3,1,5,1,1,5,5,3.8,6.25,2.5,18,4.833333333333333,5.25
S0009,100,4,5,0,5,6,5,6,3,2,5,6,7,4,4,2,"S0135, S1000, S0754, S0207, S0975, S0010, S0894, S0040, S0685, S0692",1,1,5,3,7,1,4,2,2,3,5,3.4,5.5,5.5,17,3.6666666666666665,4.0
S0010,64,7,1,0,3,4,4,1,2,4,2,3,4,1,2,1,"S0157, S0522, S0676, S0217, S0440, S0479",4,3,4,1,4,3,5,1,1,2,3,3.2,2.75,5.0,15,2.3333333333333335,2.0
